n  |dist(asec)|prob. |     link ref      |     link      |        identifier         |typ| coord1                    |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |bib |not
148| 261311.31|    95|2015ApJ...798...73G|B              |2MASSI J0421072-630602     |BD*|065.279938 -63.100625      |     ~|     ~|     ~|     ~|     ~|L5             |  14|   0
149| 385605.19|   100|2014ApJ...788...81M|B              |2MASS J05082729-2101444    |*  |077.11375 -21.02900        |     ~|     ~|     ~|     ~|     ~|M5             |  14|   0
150| 338453.17|    26|2015ApJ...798...73G|B              |2MASS J22043859-1832204    |LM*|331.16083 -18.53900        |     ~|     ~|     ~|15.4  |13.5  |M4.5V          |   2|   0
151| 548101.97|    17|2015ApJ...798...73G|B              |2MASS J00324451+2744454    |*  |008.185471 +27.745961      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
152| 581940.51|   100|2014ApJ...788...81M|B              |UCAC4 594-008941           |PM*|053.1491236 +28.7320384    |     ~|15.422|13.880|13.582|     ~|M4.5V          |  20|   0
153| 441472.65|    75|2015ApJS..219...33G|S              |SCR J0027-0806             |LM*|006.938946 -08.101283      |     ~|18.2  |17.51 |16.5  |13.72 |M5.5           |   7|   0
154| 467000.04|    75|2013ApJ...762...88M|S              |G 271-110                  |PM*|024.229858 -06.793867      |     ~|15.8  |13.997|13.710|     ~|M3.5V          |  29|   0
155| 213090.65|   100|2010A&A...520A..15M|B              |V* AO Men                  |BY*|094.6175321 -72.0448464    |     ~|11.06 | 9.809| 9.299| 8.456|K4Ve           |  85|   0
156| 121145.14|     0|                  ~|(null)         |** LDS 587                 |** |259.35642 -66.95069        |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
157| 228030.07|   100|2014ApJ...788...81M|B              |TYC 7443-1102-1            |PM*|299.0182210 -32.1271296    |     ~|12.95 |11.589|11.196|10.12 |K9IVe          |  31|   0
158| 258218.90|    82|2015ApJ...798...73G|B              |[HB88] 2124-4228           |BD*|321.858883 -42.255108      |     ~|21.6  |16.34 |19.35 |16.08 |M8.9V          |  15|   0
159| 519167.15|    75|2013ApJ...762...88M|S              |[ZEH2003] RX J2350.0+2659 5|PM*|357.526642 +26.997758      |     ~|15.9  |     ~|13.3  |11.2  |M4.0V          |  19|   0
160| 465186.81|    96|2012ApJ...758...56S|B              |Barta 161 12               |SB*|023.808012 -07.214303      |     ~|14.93 |13.43 |13.053|10.52 |M4.3V          |  31|   0
161| 456777.99|    89|2015ApJ...798...73G|B              |SIPS J0058-0651            |BD*|014.677221 -06.856650      |     ~|     ~|     ~|     ~|17.671|L0V            |  28|   0
162| 531504.05|    75|2010AJ....140..119S|S              |2MASS J04144180+1829151    |*  |063.674200 +18.487556      |     ~|     ~|13.18 |     ~|     ~|~              |   1|   0
163| 342286.91|    96|2013ApJ...762...88M|B              |* s Eri                    |SB*|039.94995772 -42.89167634  |     ~| 4.81 | 4.75 |     ~|     ~|A1Vb           |  37|   1
164| 579860.89|    49|2015ApJ...798...73G|B              |2MASS J00474453+4159428    |*  |011.935571 +41.995228      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
165| 492618.86|    75|2012AJ....144..109S|S              |GJ 3039                    |Fl*|008.1449965 +07.4908214    |     ~|     ~|12.8  |12.253|     ~|M3Ve           |  24|   0
166| 518036.29|   100|2012AJ....143...80S|B              |BD+05 378                  |Ro*|040.35786794 +05.98845030  |     ~|11.58 |10.271|     ~| 8.807|K6Ve           |  70|   1
167| 456467.28|   100|2012AJ....143..114S|B              |UCAC4 456-008319           |PM*|075.4860795 +01.1452528    |     ~|14.3  |12.859|12.564|     ~|M4.0V          |  19|   0
168| 491083.96|    50|2012AJ....143...80S|S              |[SLS2012] PYC J05071+1430  |LM*|076.797391 +14.500375      |     ~|     ~|16.1  |     ~|     ~|M5.5           |   3|   0
169| 393534.75|    18|2015ApJ...798...73G|B              |2MASS J23532556-1844402    |LM*|358.356508 -18.744525      |     ~|     ~|     ~|     ~|     ~|M6.5           |   3|   0
170| 169501.79|    10|2015ApJS..219...33G|B              |2MASS J09104094-7552528    |LM*|137.670600 -75.881340      |     ~|     ~|     ~|     ~|     ~|K              |   1|   0
171| 421124.90|    85|2015ApJ...798...73G|B              |2MASS J02552243-2044490    |*  |043.843471 -20.746967      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
172| 578471.67|    99|2013ApJ...762...88M|B              |LP 353-51                  |PM*|035.8610275 +22.7352108    |     ~|13.28 |11.250|10.697|     ~|M1V            |  28|   0
173| 505107.65|    29|2015ApJS..219...33G|B              |2MASS J02282694+0218331    |LM*|037.112283 +02.309206      |     ~|     ~|     ~|     ~|     ~|M5             |   3|   0
174| 170936.79|   100|2010A&A...520A..15M|B              |HD 168210                  |EB*|274.9675437 -29.2757858    |     ~| 9.44 | 8.844| 8.505| 8.132|G5V            |  27|   0
175| 183598.49|    75|2013MNRAS.435.1376M|B              |2MASS J19233820-4606316    |Ro*|290.90917 -46.10878        |     ~|     ~|11.871|     ~|10.139|M0             |  17|   0
176| 337670.68|    95|2013ApJ...762...88M|B              |2MASS J06085283-2753583    |*  |092.220150 -27.899542      |     ~|     ~|     ~|     ~|17.011|M9.6V          |  37|   0
177| 229248.68|    99|2014ApJ...788...81M|B              |2MASS J20013718-3313139    |Ro*|300.40492 -33.22056        |     ~|     ~|12.316|     ~|10.214|M1             |  20|   1
178| 608263.33|   100|2004ARA&A..42..685Z|B              |V* AG Tri                  |BY*|036.8718929 +30.9734989    |     ~|11.3  |10.12 | 9.32 | 8.78 |K7V            |  60|   1
179| 384426.29|    13|2015ApJS..219...33G|B              |2MASS J23353085-1908389    |LM*|353.878571 -19.144142      |     ~|     ~|     ~|     ~|     ~|M5             |   3|   0
180| 203126.94|    75|2013ApJ...762...88M|S              |1SWASP J192434.97-344239.3 |PM*|291.14562 -34.71092        |     ~|15.878|14.300|     ~|     ~|M4             |   8|   0
181| 121145.51|   100|2010A&A...520A..15M|B              |HD 155555                  |RS*|259.3562729 -66.9510364    | 7.795| 7.499| 6.723|     ~| 6.39 |K1Vp           | 139|   2
182|  68841.81|   100|2010A&A...520A..15M|B              |HD 139084                  |BY*|234.7397821 -57.7075742    |     ~| 8.78 | 7.977|     ~| 7.106|K0V            |  92|   0
183| 361203.59|   100|2014ApJ...788...81M|B              |GJ 2006 B                  |PM*|006.959792 -32.556628      |     ~|14.66 |13.25 |12.04 |10.48 |M3.5           |  20|   0
184|  97040.17|    75|2013ApJ...762...88M|S              |2MASS J16572029-5343316    |PM*|254.33458 -53.72547        |     ~|13.876|12.411|     ~|     ~|M3             |  16|   0
185| 465186.81|    75|2013ApJ...762...88M|S              |Barta 161 12               |SB*|023.808012 -07.214303      |     ~|14.93 |13.43 |13.053|10.52 |M4.3V          |  31|   0
186| 490546.00|    30|2015ApJ...798...73G|B              |2MASS J03123239-0040081    |*  |048.134962 -00.668919      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
187| 114373.94|   100|2010A&A...520A..15M|B              |CD-54 7336                 |Y*O|262.4794900 -54.2635142    |     ~|10.38 | 9.614|     ~| 8.665|K1V            |  23|   0
188| 607768.62|    50|2012AJ....143...80S|S              |UCAC3 242-14199            |PM*|035.670142 +30.921136      |     ~|15.69 |14.15 |13.697|     ~|M4.30          |   6|   0
189| 512912.35|    75|2013ApJ...762...88M|S              |G 68-46                    |PM*|357.842820 +23.739109      |     ~|15.33 |14.178|13.895|10.8  |M4.0V          |  32|   0
190| 172754.78|    99|2013ApJ...762...88M|B              |HD 181327                  |PM*|290.74559583 -54.53804790  |     ~| 7.50 | 7.04 |     ~| 6.49 |F6V            | 175|   0
191| 245992.29|    75|2013ApJ...762...88M|S              |RBS 38                     |Ro*|004.34808 -66.75347        |     ~|     ~|12.353|11.37 |10.00 |M2.5           |  18|   0
192| 585490.87|    50|2012AJ....143...80S|S              |TYC 3339-1107-2            |PM*|059.333183 +50.855172      |     ~|11.60 |10.51 |10.5  |     ~|K7             |   4|   0
193| 457037.58|    34|2012ApJ...758...56S|B              |GJ 3305                    |TT*|069.406113 -02.491236      |     ~|12.04 |10.59 |     ~| 8.59 |M1.1V          |  83|   0
194| 151357.34|   100|2014ApJ...788...81M|B              |Smethells 20               |PM*|281.7189724 -62.1768398    |     ~|13.07 |11.831|11.612| 9.99 |M1Ve           |  30|   0
195| 481583.54|    75|2013ApJ...762...88M|S              |G 68-5                     |Fl*|349.366969 +19.613031      |     ~|13.69 |12.052|11.627| 9.3  |M2V            |  40|   0
196| 541627.54|    50|2012AJ....143...80S|S              |UCAC4 545-002025           |PM*|015.7124612 +18.9483787    |     ~|     ~|14.083|13.661|     ~|M4.0V          |  12|   0
197| 284696.98|   100|2014ApJ...788...81M|B              |2MASS J21103147-2710578    |*  |317.63117 -27.18272        |     ~|     ~|     ~|     ~|     ~|M4.5           |  12|   0
198| 509615.59|    75|2015ApJS..219...33G|S              |2MASS J03442859+0716100    |LM*|056.119126 +07.269466      |     ~|     ~|     ~|     ~|     ~|M4             |   1|   0
199| 269477.18|    21|2015ApJ...798...73G|B              |2MASS J22294830-4858285    |*  |337.45125 -48.97461        |     ~|     ~|     ~|     ~|     ~|M4.5           |   5|   0
200| 203712.30|    75|2010AJ....140..119S|S              |TYC 9114-1267-1            |PM*|320.3695354 -66.9184459    |     ~|11.94 |10.595|10.244|     ~|K7V            |  15|   0
201| 554375.66|    96|2014ApJ...788...81M|B              |V* V962 Per                |BY*|070.9869621 +37.3842456    |     ~|15.35 |13.318|12.932|     ~|M2V            |  19|   0
202| 267302.17|    71|2015ApJ...798...73G|B              |SIPS J0152-6329            |PM*|028.23063 -63.49172        |     ~|     ~|     ~|     ~|11.993|~              |   3|   0
203| 497360.65|    50|2012AJ....143...80S|S              |V* V1841 Ori               |cC*|075.2053546 +15.4501914    |     ~|12.07 |10.83 |10.08 | 9.354|K2IV           |  22|   0
204| 384303.87|    50|2012AJ....143...80S|S              |[SLS2012] PYC J20515+1924  |PM*|312.898657 +19.400576      |     ~|     ~|15.5  |     ~|     ~|~              |   2|   0
205| 498371.49|    78|2015ApJ...798...73G|B              |2MASS J00464841+0715177    |BD*|011.701742 +07.254928      |     ~|     ~|     ~|     ~|     ~|M9.5:V         |  14|   0
206| 447367.65|    29|2015ApJ...798...73G|B              |2MASS J23290437+0329113    |LM*|352.268217 +03.486492      |     ~|     ~|     ~|     ~|     ~|M5.5pec        |   2|   0
207| 319523.81|    72|2012ApJ...758...56S|B              |V* TX PsA                  |Fl*|341.25021 -33.25717        |15.2  |14.93 |13.36 |12.095|10.379|M5IVe          |  50|   0
208| 378229.60|    75|2013ApJ...762...88M|S              |GJ 1284                    |Fl*|352.55598625 -20.39096817  |13.686|12.633|11.113|10.011| 8.599|M2Ve           |  40|   0
209| 140639.99|   100|2014ApJ...788...81M|B              |2MASS J18151564-4927472    |PM*|273.81517 -49.46311        |     ~|14.396|12.838|     ~|     ~|M3             |  12|   0
210| 505736.61|    75|2015ApJS..219...33G|S              |2MASS J04493288+1607226    |LM*|072.387004 +16.122964      |     ~|     ~|     ~|     ~|     ~|M9             |   3|   0
211| 428175.92|    75|2013ApJ...762...88M|S              |V* V1311 Ori               |BY*|083.0187612 -03.0914906    |     ~|13.37 |11.437|11.019| 9.153|M1.5V          |  27|   0
212| 339733.20|    75|2015ApJS..219...33G|S              |2MASS J03582255-4116060    |BD*|059.593963 -41.268344      |     ~|     ~|     ~|     ~|     ~|L6pec          |  12|   0
213| 519418.63|    12|2013ApJ...762...88M|B              |HD 15115                   |PM*|036.5676908 +06.2925517    |     ~| 7.15 | 6.80 | 6.8  | 6.33 |F4IV           | 109|   0
214| 447367.65|    75|2015ApJS..219...33G|S              |2MASS J23290437+0329113    |LM*|352.268217 +03.486492      |     ~|     ~|     ~|     ~|     ~|M5.5pec        |   2|   0
215| 160929.04|    75|2013ApJ...762...88M|S              |GSC 07396-00759            |Em*|273.591975 -32.769478      |     ~|14.14 |12.78 |12.13 |10.380|M1Ve           |  26|   0
216| 310740.32|    50|2012AJ....143...80S|S              |MCC 124                    |BY*|153.57990266 +21.07487623  |12.667|11.451|10.083| 9.155| 8.250|M0.7V          |  64|   1
217| 214192.85|   100|2010A&A...520A..15M|B              |CPD-72 2713                |Ro*|340.7038852 -71.7058856    |     ~|11.88 |10.565|10.401| 8.862|K7Ve           |  30|   0
218| 211786.83|   100|2010A&A...520A..15M|B              |CD-26 13904                |V* |287.936125 -26.069125      |     ~|11.29 |10.20 |     ~| 9.09 |K4V(e)         |  23|   0
219| 507656.07|    75|2010AJ....140..119S|S              |2MASS J02301200+0300561    |PM*|037.550017 +03.015600      |     ~|     ~|13.41 |12.68 |     ~|~              |   1|   0
220| 279072.14|    99|2013ApJ...762...88M|B              |* bet Pic                  |PM*|086.82119870 -51.06651143  | 4.13 | 4.03 | 3.86 | 3.74 | 3.58 |A6V            |1158|   1
221| 251267.25|    34|2015ApJS..219...33G|B              |2MASS J20505221-3639552    |LM*|312.717579 -36.665353      |     ~|     ~|     ~|     ~|     ~|M5             |   2|   0
222| 272995.28|   100|2010A&A...520A..15M|B              |CD-57 1054                 |PM*|075.1963742 -57.2570703    |     ~|11.36 | 9.977| 9.889| 8.177|M0Ve           |  68|   0
223| 228070.57|    50|2012AJ....143...80S|S              |UCAC4 515-054014           |PM*|182.9711800 +12.8203984    |     ~|     ~|12.547|12.020|     ~|~              |   5|   0
224| 620659.06|    34|2015ApJ...798...73G|B              |2MASS J02354496+3429215    |PM*|038.93733 +34.48931        |     ~|16.5  |     ~|14.2  |11.5  |~              |   2|   0
225| 457037.58|    75|2014A&A...567A..52K|S              |GJ 3305                    |TT*|069.406113 -02.491236      |     ~|12.04 |10.59 |     ~| 8.59 |M1.1V          |  83|   0
226| 555404.79|    25|2015ApJ...798...73G|B              |2MASS J00584590+2430511    |*  |014.691279 +24.514206      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
227| 229547.11|    94|2015ApJ...798...73G|B              |2MASS J20042845-3356105    |PM*|301.11858 -33.93625        |     ~|16.365|14.653|     ~|     ~|M4.5           |   4|   0
228| 427846.47|    54|2015ApJ...798...73G|B              |2MASS J00473149-1424425    |*  |011.881250 -14.411833      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
229| 120021.07|    75|2013ApJ...762...88M|S              |2MASS J17150219-3333398    |Ro*|258.75917 -33.56106        |     ~|     ~|10.933|     ~| 9.066|M0             |  12|   0
230| 113877.36|    75|2013ApJ...762...88M|S              |GSC 08350-01924            |PM*|262.33613 -50.24806        |     ~|14.32 |12.86 |     ~|     ~|M3Ve           |  20|   0
231| 299780.55|   100|2010ApJ...723.1599M|B              |V* AZ Cap                  |BY*|314.0114112 -17.1816123    |     ~|11.60 |10.477|10.180| 8.847|K7             |  61|   0
232| 336613.95|    75|2013ApJ...762...88M|S              |TYC 6513-1245-1            |Ro*|093.4906087 -27.3986542    |     ~|12.78 |11.861|     ~|10.559|K1IIIe         |   7|   0
233| 499656.31|    50|2012AJ....143...80S|S              |[ZEH2003] RX J0201.7+0117 2|PM*|030.445550 +01.284994      |     ~|13.0  |11.6  |     ~|     ~|~              |   4|   0
234| 608263.33|    99|2013ApJ...762...88M|B              |V* AG Tri                  |BY*|036.8718929 +30.9734989    |     ~|11.3  |10.12 | 9.32 | 8.78 |K7V            |  60|   1
235| 151865.31|    75|2013MNRAS.435.1376M|B              |HD 173167                  |PM*|282.0264989 -62.2297236    |     ~| 7.75 | 7.28 |     ~|     ~|F5V            |  14|   0
236| 505107.65|    67|2015ApJ...798...73G|B              |2MASS J02282694+0218331    |LM*|037.112283 +02.309206      |     ~|     ~|     ~|     ~|     ~|M5             |   3|   0
237| 385672.86|    88|2015ApJ...798...73G|B              |WISE J024127.29-304915.1   |*  |040.36371 -30.82086        |     ~|     ~|     ~|     ~|     ~|M4.3           |   3|   0
238| 497046.44|    55|2015ApJS..219...33G|B              |2MASS J03111547+0106307    |LM*|047.81450 +01.10853        |     ~|     ~|     ~|15.1  |13    |M5.5V          |   4|   0
239| 500997.73|    50|2012AJ....143...80S|S              |UCAC4 634-125518           |PM*|344.2971015 +36.6625345    |     ~|     ~|12.403|11.882|     ~|M3             |   6|   0
240| 317151.08|    75|2013ApJ...762...88M|S              |UCAC4 385-156333           |PM*|316.9033071 -13.0828312    |     ~|14.229|12.640|12.349|     ~|M3             |  12|   0
241| 444789.78|    75|2015ApJ...798...73G|B              |2MASS J03445673-1145126    |PM*|056.236387 -11.753517      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
242| 481861.55|    75|2013ApJ...762...88M|S              |LP 476-207                 |** |075.49497579 +09.98313487  |     ~|12.93 |11.53 |10.33 | 8.708|M3.5V          |  71|   0
243| 457102.86|    99|2013ApJ...762...88M|B              |* c Eri                    |PM*|069.40055143 -02.47354857  |     ~| 5.486| 5.209|     ~|     ~|F0IV           | 105|   0
244| 506809.98|    78|2015ApJ...798...73G|B              |G 76-8                     |PM*|038.81229 +02.79819        |     ~|15.5  |     ~|13.5  |11.2  |M5V            |   9|   0
245| 193552.34|    75|2010AJ....140..119S|S              |StKM 1-1494                |PM*|263.6947048 -06.9029739    |     ~|12.80 |11.244|10.936| 9.49 |M0             |   3|   0
246| 405005.91|    99|2013ApJ...762...88M|B              |V* AF Lep                  |RS*|081.7698462 -11.9009633    |     ~| 6.832| 6.295|     ~|     ~|F8V(n)k:       | 147|   0
247| 150681.51|    99|2013ApJ...762...88M|B              |HD 172555                  |PM*|281.36208536 -64.87126105  |     ~| 4.967| 4.767|     ~|     ~|A7V            | 174|   0
248| 369371.77|    22|2015ApJ...798...73G|B              |2MASS J00085614-2813211    |*  |002.233921 -28.222542      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
249| 566135.74|   100|2015ApJS..219...33G|B              |EPIC 211046195             |LM*|053.758696 +23.709892      |     ~|     ~|     ~|17.67 |     ~|M8.5V          |  38|   1
250| 404852.22|    47|2015ApJS..219...33G|B              |2MASS J03132588-2447246    |LM*|048.357833 -24.790175      |     ~|     ~|     ~|     ~|     ~|M5.5:pec       |   2|   0
251| 109496.41|    75|2010AJ....140..119S|S              |TYC 8227-1561-1            |PM*|174.5588604 -51.0325297    |     ~|12.67 |11.238|10.788|     ~|~              |   3|   0
252| 492618.86|    50|2012AJ....143...80S|S              |GJ 3039                    |Fl*|008.1449965 +07.4908214    |     ~|     ~|12.8  |12.253|     ~|M3Ve           |  24|   0
253| 599407.41|    99|2013ApJ...762...88M|B              |HD 14082                   |PM*|034.3553612 +28.7450403    |     ~| 7.49 | 7.00 |     ~|     ~|F5V            |  62|   1
254| 462140.84|    75|2015ApJS..219...33G|S              |2MASSI J0443376+000205     |LM*|070.906708 +00.034772      |     ~|     ~|19.6  |     ~|15.877|M9.0V          |  36|   0
255| 491083.96|    75|2015ApJS..219...33G|S              |[SLS2012] PYC J05071+1430  |LM*|076.797391 +14.500375      |     ~|     ~|16.1  |     ~|     ~|M5.5           |   3|   0
256| 455660.48|    75|2010AJ....140..119S|S              |2MASS J06094646+1607068    |PM*|092.443617 +16.118564      |     ~|     ~|12.05 |11.21 |     ~|~              |   1|   0
257| 496908.65|    75|2010AJ....140..119S|S              |UCAC4 555-014813           |PM*|080.7840777 +20.8211862    |     ~|     ~|12.379|11.980|     ~|~              |   3|   0
258| 208678.20|    72|2015ApJ...798...73G|B              |2MASS J02534448-7959133    |LM*|043.43538 -79.98703        |     ~|18.7  |     ~|     ~|     ~|M5.5e          |   9|   0
259| 255404.90|   100|2010A&A...520A..15M|B              |V* AT Mic                  |** |310.46316354 -32.43523009  |12.753|11.909|10.343| 9.098| 7.383|M4.5Ve+M4.5Ve  | 166|   0
260| 444631.02|    75|2010AJ....140..119S|S              |TYC 1158-1185-1            |PM*|340.7037792 +13.5145922    |     ~|12.32 |11.50 |     ~|     ~|~              |   7|   0
261| 143887.36|    92|2014ApJ...788...81M|B              |V* DZ Cha                  |Or*|177.38267 -78.85031        |     ~|13.500|12.832|11.600|10.732|M0Ve           |  36|   0
262| 519590.46|    64|2015ApJ...798...73G|B              |[SLS2012] PYC J02035+0648  |PM*|030.884283 +06.816353      |     ~|     ~|14.8  |     ~|     ~|~              |   3|   0
263| 403722.69|   100|2010A&A...520A..15M|B              |BD-13 6424                 |Ro*|353.1285887 -12.2642989    |     ~|12.38 |10.639|10.320| 8.646|M0Ve           |  41|   0
264| 233863.04|    75|2013MNRAS.435.1376M|B              |V* V5663 Sgr               |V* |301.485025 -32.283097      |     ~|     ~|     ~|     ~|     ~|~              |   8|   0
265| 554690.75|    75|2010AJ....140..119S|S              |BD+17 232A                 |PM*|024.414125 +18.592417      |     ~|11.61 |10.58 |     ~|     ~|~              |   8|   0
266| 481331.25|    75|2010AJ....140..119S|S              |UCAC3 178-3679             |*  |019.814892 -01.445289      |     ~|13.497|12.217|11.77 |     ~|~              |   2|   0
267| 456467.28|    50|2012AJ....143...80S|S              |UCAC4 456-008319           |PM*|075.4860795 +01.1452528    |     ~|14.3  |12.859|12.564|     ~|M4.0V          |  19|   0
268| 339733.20|    45|2015ApJ...798...73G|B              |2MASS J03582255-4116060    |BD*|059.593963 -41.268344      |     ~|     ~|     ~|     ~|     ~|L6pec          |  12|   0
269| 508043.41|    81|2015ApJ...798...73G|B              |[SLS2012] PYC J03266+0513  |PM*|051.668036 +05.226466      |     ~|     ~|15.8  |     ~|     ~|~              |   2|   0
270| 446869.73|    75|2013ApJ...762...88M|S              |TYC 2211-1309-1            |PM*|330.1732665 +27.2537598    |     ~|12.77 |11.366|10.933|     ~|M0.0V          |  28|   0
271| 459879.53|    72|2015ApJ...798...73G|B              |2MASS J01294256-0823580    |LM*|022.427333 -08.399469      |     ~|     ~|     ~|15.22 |     ~|M5.0           |   6|   0
272| 113877.36|   100|2014ApJ...788...81M|B              |GSC 08350-01924            |PM*|262.33613 -50.24806        |     ~|14.32 |12.86 |     ~|     ~|M3Ve           |  20|   0
273| 359449.66|    30|2015ApJ...798...73G|B              |2MASS J21350124-0308342    |*  |323.755200 -03.142844      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
274| 470335.11|    50|2012AJ....143...80S|S              |UCAC4 617-130729           |Ro*|334.6777383 +33.3538025    |     ~|     ~|12.950|12.512|     ~|M2/M4          |   8|   0
275| 566407.52|    43|2015ApJ...798...73G|B              |2MASS J02020653+2006560    |*  |030.527221 +20.115569      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
276| 172196.92|    69|2015ApJS..219...33G|B              |DENIS J200048.3-752306     |BD*|300.201737 -75.385283      |     ~|     ~|21.157|18.379|16.119|M9             |  17|   0
277| 273815.67|    26|2015ApJ...798...73G|B              |2MASS J20544332-2745512    |*  |313.680521 -27.764236      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
278| 272995.28|   100|2010ApJ...723.1599M|B              |CD-57 1054                 |PM*|075.1963742 -57.2570703    |     ~|11.36 | 9.977| 9.889| 8.177|M0Ve           |  68|   0
279| 462140.84|    99|2015ApJ...798...73G|B              |2MASSI J0443376+000205     |LM*|070.906708 +00.034772      |     ~|     ~|19.6  |     ~|15.877|M9.0V          |  36|   0
280| 506191.95|    97|2015ApJ...798...73G|B              |[SLS2012] PYC J04034+0824  |PM*|060.853516 +08.414118      |     ~|     ~|15.5  |     ~|     ~|~              |   2|   0
281| 160929.04|   100|2014ApJ...788...81M|B              |GSC 07396-00759            |Em*|273.591975 -32.769478      |     ~|14.14 |12.78 |12.13 |10.380|M1Ve           |  26|   0
282| 534651.41|    75|2013ApJ...762...88M|S              |GJ 3076                    |Fl*|017.855935 +15.439305      |     ~|16.0  |14.46 |12.95 |11.03 |M5.93          |  53|   0
283| 140639.99|    75|2013ApJ...762...88M|S              |2MASS J18151564-4927472    |PM*|273.81517 -49.46311        |     ~|14.396|12.838|     ~|     ~|M3             |  12|   0
284| 124228.87|   100|2010A&A...520A..15M|B              |HD 161460                  |Y*O|267.1405725 -53.1120550    |     ~|10.44 | 8.945|     ~| 7.954|K0IV           |  19|   0
285| 272995.28|    99|2013ApJ...762...88M|B              |CD-57 1054                 |PM*|075.1963742 -57.2570703    |     ~|11.36 | 9.977| 9.889| 8.177|M0Ve           |  68|   0
286| 352019.36|    99|2014ApJ...788...81M|B              |CD-39 325                  |Al*|018.367354 -38.350733      |     ~|13.17 |11.72 |11.38 | 9.693|M1V+M3V        |  26|   0
287| 183598.49|    75|2013ApJ...762...88M|S              |2MASS J19233820-4606316    |Ro*|290.90917 -46.10878        |     ~|     ~|11.871|     ~|10.139|M0             |  17|   0
288| 299780.55|   100|2010A&A...520A..15M|B              |V* AZ Cap                  |BY*|314.0114112 -17.1816123    |     ~|11.60 |10.477|10.180| 8.847|K7             |  61|   0
289| 608263.33|   100|2010A&A...520A..15M|B              |V* AG Tri                  |BY*|036.8718929 +30.9734989    |     ~|11.3  |10.12 | 9.32 | 8.78 |K7V            |  60|   1
290| 334505.35|    25|2015ApJ...798...73G|B              |2MASS J20485716-0053473    |*  |312.238200 -00.896478      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
291| 489254.45|    75|2015ApJS..219...33G|S              |TVLM 831-154910            |LM*|042.548637 -01.858211      |     ~|     ~|     ~|     ~|     ~|M7:            |   7|   0
292| 216697.60|    75|2013ApJ...762...88M|S              |1SWASP J191028.18-231948.0 |PM*|287.61754 -23.33017        |     ~|14.755|13.222|     ~|     ~|M4             |  14|   0
293| 361623.15|    30|2015ApJ...798...73G|B              |GR* 9                      |** |007.059821 -32.465453      |     ~|16.81 |15.23 |14.99 |     ~|M5             |  11|   0
294| 157318.56|    96|2015ApJ...798...73G|B              |2MASS J19002383-6120156    |*  |285.099292 -61.337692      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
295| 176707.24|    94|2015ApJ...798...73G|B              |2MASS J08025781-8330076    |PM*|120.740887 -83.502136      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
296| 372438.10|    50|2012AJ....143...80S|S              |HD 331149                  |*  |295.9079203 +32.4201592    |     ~|11.90 |10.77 |10.09 |     ~|K7.0V          |   6|   0
297| 457037.58|   100|2010A&A...520A..15M|B              |GJ 3305                    |TT*|069.406113 -02.491236      |     ~|12.04 |10.59 |     ~| 8.59 |M1.1V          |  83|   0
298| 254086.90|    75|2013ApJ...762...88M|S              |UCAC4 443-084377           |SB*|282.4809771 -01.5691509    |     ~|14.78 |13.439|13.136|     ~|M2.5           |  10|   0
299| 259835.98|   100|2010A&A...520A..15M|B              |V* AU Mic                  |BY*|311.28971448 -31.34090070  |     ~|10.05 | 8.627| 9.078| 6.593|M1VeBa1        | 513|   0
300| 214192.85|    75|2013ApJ...762...88M|S              |CPD-72 2713                |Ro*|340.7038852 -71.7058856    |     ~|11.88 |10.565|10.401| 8.862|K7Ve           |  30|   0
301| 385084.25|    99|2013ApJ...762...88M|B              |HD 203                     |PM*|001.7086925 -23.1075403    |     ~| 6.547| 6.173|     ~| 5.74 |F3V            |  68|   0
302| 519167.15|    97|2014ApJ...788...81M|B              |[ZEH2003] RX J2350.0+2659 5|PM*|357.526642 +26.997758      |     ~|15.9  |     ~|13.3  |11.2  |M4.0V          |  19|   0
303| 264989.02|    75|2013ApJ...762...88M|S              |2MASS J20333759-2556521    |PM*|308.40662 -25.94783        |     ~|     ~|14.87 |13.44 |11.57 |M4.5           |  17|   0
304| 274468.21|    75|2013ApJ...762...88M|S              |EM* StHA 182               |** |310.921425 -24.564775      |     ~|     ~|13.5  |12.50 |10.10 |M4.1V+M3.7V    |  22|   0
305| 403722.69|   100|2014ApJ...788...81M|B              |BD-13 6424                 |Ro*|353.1285887 -12.2642989    |     ~|12.38 |10.639|10.320| 8.646|M0Ve           |  41|   0
